Title,Available Globally?,Release Date,Hours Viewed,Runtime,Views,EnglishTitle,OMDb_Title,OMDb_Year,OMDb_Rated,OMDb_Released,OMDb_Runtime,OMDb_Genre,OMDb_Director,OMDb_Writer,OMDb_Actors,OMDb_Plot,OMDb_Language,OMDb_Country,OMDb_Awards,OMDb_Poster,OMDb_Ratings,OMDb_Metascore,OMDb_imdbRating,OMDb_imdbVotes,OMDb_imdbID,OMDb_Type,OMDb_DVD,OMDb_BoxOffice,OMDb_Production,OMDb_Website,OMDb_Response,Error,TMDb_Synopsis,TMDb_Tagline,TMDb_Keywords,TMDb_Error,LLM_Raw_Response,Fear_Category
Run,No,2021-04-02,"7,400,000",1:30,4900000,Run,Run,2020.0,PG-13,20 Nov 2020,90 min,"Drama, Horror, Mystery",Aneesh Chaganty,"Aneesh Chaganty, Sev Ohanian","Sarah Paulson, Kiera Allen, Sara Sohn","Chloe, a teenager who is confined to a wheelchair, is homeschooled by her mother, Diane. Chloe soon becomes suspicious of her mother and begins to suspect that she may be harboring a dark secret.",English,"United States, Canada",3 wins & 6 nominations total,https://m.media-amazon.com/images/M/MV5BOTViNDViNDgtNDc0Ny00NWZkLTljMzctYjgzNzI5MTYwZjJlXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '88%'}, {'Source': 'Metacritic', 'Value': '67/100'}]",67.0,6.7,"107,371",tt8633478,movie,,,,,True,,"Chloe, a teenager who is confined to a wheelchair, is homeschooled by her mother, Diane. Chloe soon becomes suspicious of her mother and begins to suspect that she may be harboring a dark secret.",You can't escape a mother's love.,"small town, wheelchair user   , homeschooling, single mother, washington state, prescription medication, physical disability, cloistered life, college applications, munchausen syndrome by proxy",,"Based on the title, overview, and keywords, I would classify the movie ""Run"" under the category of **Institutional & Structural Control**.

The fear at the core of this film appears to be the manipulation and control exerted by Diane, Chloe's mother, who is hiding a dark secret. The fact that Chloe is confined to a wheelchair and homeschooled suggests a sense of isolation and confinement, which is further exacerbated by her mother's controlling behavior.

While there may be elements of paranoia and suspicion, the primary fear driving the horror in this film seems to be the structural control exerted by Diane over Chloe's life. This control is not driven by an external or uncanny presence (as would be the case with Invasion), nor is it a result of biological infection or contagion (Contagion & Mutation). Instead, it appears to be a product of institutional and systemic power dynamics, which are characteristic of this fear category.

Therefore, I believe that **Institutional & Structural Control** is the most fitting category for ""Run"".",Institutional & Structural Control
The Intruder (2019),No,,"8,400,000",1:42,4900000,The Intruder,The Intruder,2019.0,PG-13,03 May 2019,102 min,"Horror, Thriller",Deon Taylor,David Loughery,"Michael Ealy, Meagan Good, Dennis Quaid","A young married couple buy a beautiful house on several acres of land, only to find out that the man they bought it from refuses to let go of the property.",English,"United States, Canada",,https://m.media-amazon.com/images/M/MV5BNTczMzc4NDY0MF5BMl5BanBnXkFtZTgwMjI3Njg3NjM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '35%'}, {'Source': 'Metacritic', 'Value': '39/100'}]",39.0,5.6,"20,016",tt6722030,movie,,"$35,419,122",,,True,,A psychological thriller about a young married couple who buys a beautiful Napa Valley house on several acres of land only to find that the man they bought it from refuses to let go of the property.,Your House. His Home.,"california, psychopath, widow, country house, thanksgiving, stalker, deer, murder, christmas lights, voyeur, christmas, intruder, napa valley",,"Based on the title, overview, and keywords, I would classify ""The Intruder"" under **Invasion, Impostors & Paranoia** (Category 1).

The film appears to revolve around a stalker who refuses to let go of the property he sold to the young married couple. This suggests an external presence that is unwilling to relinquish control, which fits the category of Invasion, Impostors & Paranoia.

While there may be elements of psychological manipulation and paranoia present in the film, the core fear seems to stem from the idea of being invaded or replaced by this unwelcome presence, rather than a systemic or institutional threat.","Invasion, Impostors & Paranoia"
Faceless // 正体,Yes,,"9,300,000",2:01,4600000,Faceless,Faceless,1988.0,,22 Jun 1988,98 min,"Horror, Thriller",Jesús Franco,"René Chateau, Pierre Ripert, Jean Mazarin","Helmut Berger, Brigitte Lahaie, Telly Savalas","When model Barbara Hallen disappears in France, her father's private detective traces her steps to a private plastic surgery clinic run by Dr.Flamand.",English,France,,https://m.media-amazon.com/images/M/MV5BYmIzMmI4MDQtZTY4Yy00Njk3LTk2M2EtZWQ0OTJjZDliZWFhXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}]",,5.8,"1,878",tt0095125,movie,,,,,True,,"A detective investigating a missing model in Paris uncovers a plastic surgeon’s horrifying secret involving kidnapped women, blood, and organs.",Come Face to Face with Evil,"sadism, kidnapping, remake, hospital, death, surgery",,"Based on the title, overview, and keywords, I would classify the movie ""Faceless"" under the category of **Captivity & Voyeuristic Sadism**.

The primary fear at the core of this film appears to be the intentional captivity and sadistic treatment of kidnapped women by a plastic surgeon. The detective's investigation reveals a horrifying secret involving blood, organs, and surgery, which suggests a deliberate and conscious effort to inflict pain and suffering on the victims. This fear is driven by the presence of an intentional captor who is actively seeking to harm and exploit others.

While there may be elements of body horror or medical terror present in the film, the primary focus appears to be on the sadistic and voyeuristic aspects of the captor's actions, which aligns with the Captivity & Voyeuristic Sadism category.",Captivity & Voyeuristic Sadism
The Silence,No,2019-04-10,"6,800,000",1:31,4500000,The Silence,The Silence,2019.0,PG-13,10 Apr 2019,90 min,"Drama, Horror, Sci-Fi",John R. Leonetti,"Carey Van Dyke, Shane Van Dyke, Tim Lebbon","Stanley Tucci, Kiernan Shipka, Miranda Otto","When the world is under attack from terrifying creatures who hunt their human prey by sound, 16-year old Ally Andrews (Kiernan Shipka), who lost her hearing at 13, and her family seek refuge in a remote haven.","English, American Sign ","United States, Germany",,https://m.media-amazon.com/images/M/MV5BYzY2ZjM0NTgtNDc3OS00YmQwLTlkN2YtMmRmMDAxMmM0NTliXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '30%'}, {'Source': 'Metacritic', 'Value': '25/100'}]",25.0,5.4,"54,434",tt7315484,movie,,,,,True,,"With the world under attack by deadly creatures who hunt by sound, a teen and her family seek refuge outside the city and encounter a mysterious cult.",They're listening.,"based on novel or book, deaf, post-apocalyptic future, survival, creature, religious cult, sign languages, deadly creature, creature attack, trying to avoid making noise",,"Based on the title, overview, and keywords, I would classify ""The Silence"" under **Invasion, Impostors & Paranoia**.

The primary fear at the core of this film appears to be the invasion of deadly creatures that hunt by sound, which creates a sense of paranoia and uncertainty for the characters. The presence of these creatures is an external threat that drives the horror sequences, making it a classic example of Invasion, Impostors & Paranoia.

While there may be elements of survival, family dynamics, and religious cults present in the film, the primary fear and menace come from the external invasion of the deadly creatures.","Invasion, Impostors & Paranoia"
I Spit on Your Grave 2,No,,"7,900,000",1:46,4500000,I Spit on Your Grave 2,I Spit on Your Grave 2,2013.0,R,05 Sep 2013,106 min,"Horror, Thriller",Steven R. Monroe,"Neil Elman, Thomas Fenton","Jemma Dallender, Joe Absolom, Yavor Baharov","When Katie innocently accepts an offer to have new photos taken for her portfolio, the experience quickly turns into a nightmare of rape, torture and kidnapping. Now, she will have to find the strength to exact her brutal revenge.","English, Bulgarian","United States, Bulgaria",,https://m.media-amazon.com/images/M/MV5BNGQwZGNlZjctOWY3Ni00MTg4LWE3YzctZmFhMmJjNjY0MzVhXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '0%'}]",,5.7,"35,242",tt2537176,movie,,$809,,,True,,"Broke, and in desperate need to update her portfolio, New York City model Katie calls a number from a tear-off flyer offering free photos. But this innocent attempt quickly turns into an unthinkable kidnapping nightmare where she's ripped away from everyone and everything she knows.",The Terror. The Bloodshed. The Revenge.,"rape, exploitation, sequel, revenge, model, american express, rape and revenge",,"Based on the title, overview, and keywords, I would classify ""I Spit on Your Grave 2"" under **Captivity & Voyeuristic Sadism**.

The film's premise revolves around Katie's kidnapping and exploitation, which is a classic example of captivity and sadistic captors. The fact that it's a sequel to the original ""I Spit on Your Grave"" (1978) also suggests that the core engine driving the horror is an intentional, conscious captor who inflicts pain and coercion as part of their design.

The keywords ""rape"", ""exploitation"", and ""revenge"" further reinforce this classification, as they imply a narrative focused on Katie's captivity and subsequent attempts to exact revenge against her tormentors.",Captivity & Voyeuristic Sadism
Sleepy Hollow (1999),No,,"7,900,000",1:46,4500000,Sleepy Hollow,Sleepy Hollow,1999.0,R,19 Nov 1999,105 min,"Fantasy, Horror, Mystery",Tim Burton,"Washington Irving, Kevin Yagher, Andrew Kevin Walker","Johnny Depp, Christina Ricci, Miranda Richardson",Ichabod Crane is sent to Sleepy Hollow to investigate the decapitations of three people; the culprit is legendary apparition The Headless Horseman.,"English, Latin","United States, Germany, United Kingdom",Won 1 Oscar. 28 wins & 44 nominations total,https://m.media-amazon.com/images/M/MV5BYWIwMTIxZTQtNDZhNS00ZDZlLTg5MTEtOTNkMmNjOGUzMTA1XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '71%'}, {'Source': 'Metacritic', 'Value': '65/100'}]",65.0,7.3,"401,630",tt0162661,movie,,"$101,071,502",,,True,,"Skeptical young detective Ichabod Crane gets transferred to the hamlet of Sleepy Hollow, New York, where he is tasked with investigating the decapitations of three people – murders the townsfolk attribute to a legendary specter, The Headless Horseman.",Heads will roll.,"small town, steampunk, police detective, new york state, skeptic, autumn, 19th century, headless horseman",,"Based on the title, overview, and keywords, I would classify ""Sleepy Hollow"" under **Invasion, Impostors & Paranoia**.

The primary fear at the core of this film is the invasion of a supernatural entity, The Headless Horseman, into the small town of Sleepy Hollow. This entity is an external presence that is perceived as a threat to the townsfolk's lives and sanity. While there are elements of institutional control (the police detective Ichabod Crane) and social breakdown (the fear and superstition surrounding the murders), the primary focus of the film is on the invasion of this supernatural force.

The Headless Horseman is an uncanny presence that drives the menace and conflict in the story, making **Invasion, Impostors & Paranoia** the most fitting category for this film.","Invasion, Impostors & Paranoia"
Crawl (2019),No,,"6,500,000",1:27,4500000,Crawl,Crawl,2019.0,R,12 Jul 2019,87 min,"Action, Horror, Thriller",Alexandre Aja,"Michael Rasmussen, Shawn Rasmussen","Kaya Scodelario, Barry Pepper, Morfydd Clark",Gigantic alligators swarm around a young woman and her father as floodwaters engulf their home.,English,United States,5 nominations total,https://m.media-amazon.com/images/M/MV5BNTE4NjJmZDgtMzk4MS00MmYzLWI0YjAtZWU0NTNmMDJhNzI3XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '84%'}, {'Source': 'Metacritic', 'Value': '60/100'}]",60.0,6.1,"99,950",tt8364368,movie,,"$39,014,193",,,True,,"When a huge hurricane hits her hometown in Florida, Haley ignores evacuation orders to look for her father. After finding him badly wounded, both are trapped by the flood. With virtually no time to escape the storm, they discover that rising water levels are the least of their problems.",If the storm doesn't get you... they will,"florida, hurricane, animal attack, alligator, creature, flood, animal horror, crawlspace, father daughter relationship",,"Based on the title, overview, and keywords, I would classify the movie ""Crawl"" under the category:

**Ecological / Natural Menace**

The primary fear at the core of this film is the threat posed by a natural disaster (the hurricane) and the subsequent invasion of alligators into the crawlspace where the protagonists are trapped. The horror stems from the unpredictable and uncontrollable nature of these creatures, which creates a sense of vulnerability and desperation for the characters.

While there may be some elements of captivity and confinement, the primary menace is not a conscious captor or sadistic agent, but rather the natural environment and its dangers.",Ecological / Natural Menace
Life (1999),No,,"7,800,000",1:49,4300000,Life,Life,2017.0,R,24 Mar 2017,104 min,"Horror, Sci-Fi, Thriller",Daniel Espinosa,"Rhett Reese, Paul Wernick","Jake Gyllenhaal, Rebecca Ferguson, Ryan Reynolds",A team of scientists aboard the ISS discover a rapidly evolving Martian predator that needs to be kept away from Earth at all costs.,"English, Japanese, Vietnamese",United States,7 nominations total,https://m.media-amazon.com/images/M/MV5BNWNkYWYzNGUtOWVjNS00MGY0LWIyY2YtODllNGIxOGRlOTgyXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '67%'}, {'Source': 'Metacritic', 'Value': '54/100'}]",54.0,6.6,"269,765",tt5442430,movie,,"$30,234,022",,,True,,"The six-member crew of the International Space Station is tasked with studying a sample from Mars that may be the first proof of extra-terrestrial life, which proves more intelligent than ever expected.",Be careful what you search for.,"planet mars, alien life-form, space, astronaut, space station, intelligent, trapped in space, extraterrestrial life, alien on board, death of astronaut, cliché",,"Based on the title, overview, and keywords, I would classify the movie ""Life"" under the category **Invasion, Impostors & Paranoia**.

The primary fear at the core of this film is the invasion of an intelligent alien life form that proves to be a menace to the human crew. The alien's presence on board the space station creates a sense of paranoia and unease among the astronauts, who are trapped in space with no escape from the deadly threat.

While there may be some elements of captivity and confinement, the primary fear is not about being imprisoned or tortured by a sadistic captor, but rather about being replaced or infiltrated by an external presence that is beyond human control.","Invasion, Impostors & Paranoia"
Don't Breathe 2,No,,"7,000,000",1:38,4300000,Don't Breathe 2,Don't Breathe 2,2021.0,R,13 Aug 2021,98 min,"Action, Crime, Horror",Rodo Sayagues,"Fede Alvarez, Rodo Sayagues","Stephen Lang, Madelyn Grace, Brendan Sexton III","A blind war veteran trains his adopted daughter to face any danger, but they are ambushed when a vengeful stranger emerges from the past.",English,United States,1 nomination total,https://m.media-amazon.com/images/M/MV5BMDZmMWE1ZTctMTM4Ni00Nzk4LWFmZGMtODU2YjY5Y2I1ZmVkXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}, {'Source': 'Metacritic', 'Value': '46/100'}]",46.0,6.0,"78,462",tt6246322,movie,,"$32,712,950",,,True,,"The Blind Man has been hiding out for several years in an isolated cabin and has taken in and raised a young girl orphaned from a devastating house fire. Their quiet life together is shattered when a group of criminals kidnap the girl, forcing the Blind Man to leave his safe haven to save her.",Bad things happen to bad people.,"home, invasion, sin, sequel, gunfight, blind, home invasion, criminal, handgun, aftercreditsstinger, blind man, hammer",,"Based on the title, overview, and keywords, I would classify ""Don't Breathe 2"" under **Invasion & Home Invasion**.

The film's premise revolves around a group of criminals invading the Blind Man's isolated cabin, disrupting his quiet life with the young girl he has taken in. This invasion serves as the primary source of fear, driving the conflict and horror sequences in the movie. The Blind Man's need to protect the girl from these invaders creates tension and danger, making this category a fitting choice.

While there are elements of sin and moral punishment present in the film, they do not drive the core horror or invasion narrative. Instead, the focus is on the external threat posed by the criminals, which aligns with the **Invasion & Home Invasion** category.",Captivity & Voyeuristic Sadism
The Last Exorcism Part II,No,,"6,400,000",1:29,4300000,The Last Exorcism Part II,The Last Exorcism Part II,2013.0,PG-13,01 Mar 2013,88 min,"Horror, Thriller",Ed Gass-Donnelly,"Damien Chazelle, Ed Gass-Donnelly, Huck Botko","Ashley Bell, Julia Garner, Spencer Treat Clark","As Nell Sweetzer tries to build a new life after the events of the first movie, the evil force that once possessed her returns with an even more horrific plan.",English,"France, United States, United Kingdom",1 win & 2 nominations total,https://m.media-amazon.com/images/M/MV5BMTk5MjkxMjUxMF5BMl5BanBnXkFtZTcwODk5ODUwOQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '16%'}, {'Source': 'Metacritic', 'Value': '35/100'}]",35.0,4.0,"17,323",tt2034139,movie,,"$15,179,302",,,True,,"As Nell Sweetzer tries to build a new life, the evil force that once possessed her returns with an even more horrific plan.",The second coming,"sequel, found footage, supernatural horror",,"Based on the title, overview, and keywords, I would classify ""The Last Exorcism Part II"" under **Possession & Loss of Agency**.

The film's premise revolves around Nell Sweetzer trying to rebuild her life after a previous exorcism, only to have the evil force that possessed her return. This suggests that the primary fear at play is the loss of agency and control over one's own mind and body, which is a hallmark of possession horror.

While there may be elements of captivity or confinement in the film (found footage style), the core engine driving the horror appears to be the supernatural force taking control of Nell's life, rather than an intentional captor.",Possession & Loss of Agency
Brightburn,No,,"6,300,000",1:31,4200000,Brightburn,Brightburn,2019.0,R,24 May 2019,90 min,"Drama, Horror, Mystery",David Yarovesky,"Brian Gunn, Mark Gunn","Elizabeth Banks, David Denman, Jackson A. Dunn","What if a child from another world crash-landed on Earth, but instead of becoming a hero to mankind, he proved to be something far more sinister?",English,United States,1 win & 2 nominations total,https://m.media-amazon.com/images/M/MV5BMTBhNDcwNzYtOWE3Mi00MGU1LWI1YTAtOTJiZjIzODRjMjc2XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '57%'}, {'Source': 'Metacritic', 'Value': '44/100'}]",44.0,6.1,"114,752",tt7752126,movie,,"$17,300,439",,,True,,"What if a child from another world crash-landed on Earth, but instead of becoming a hero to mankind, he proved to be something far more sinister?",He's not here to save the world,"husband wife relationship, countryside, child murder, country life, kansas, usa, super power, super villain, father son relationship, mother son relationship",,"Based on the title, overview, and keywords, I would classify ""Brightburn"" under **Invasion, Impostors & Paranoia**.

The film's premise revolves around a child from another world who crash-lands on Earth, but instead of becoming a hero, he becomes a malevolent force. This invasion by an external presence (the alien child) drives the horror and menace in the story, rather than any internal or psychological factors.

The fear category **Invasion, Impostors & Paranoia** captures the essence of this film, as it explores the theme of an unknown entity infiltrating human society and wreaking havoc. The movie's focus on a super-powered child who turns into a super villain also aligns with this category, as it highlights the fear of being replaced or observed by a hidden other.

Overall, ""Brightburn"" is a horror film that primarily explores the fear of invasion and the unknown, making **Invasion, Impostors & Paranoia** the most fitting thematic fear category.","Invasion, Impostors & Paranoia"
Nope,No,,"9,000,000",2:11,4100000,Nope,Nope,2022.0,R,22 Jul 2022,130 min,"Horror, Mystery, Sci-Fi",Jordan Peele,Jordan Peele,"Daniel Kaluuya, Keke Palmer, Brandon Perea",The residents of a lonely gulch in inland California bear witness to an uncanny and chilling phenomenon.,"English, Spanish","Canada, Japan, United States",42 wins & 179 nominations total,https://m.media-amazon.com/images/M/MV5BODRlNWRhZWUtMzdlZC00ZDIyLWFhZjMtYTcxNjI1ZDIwODhjXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '83%'}, {'Source': 'Metacritic', 'Value': '77/100'}]",77.0,6.8,"306,360",tt10954984,movie,,"$123,277,080",,,True,,"Residents in a lonely gulch of inland California bear witness to an uncanny, chilling discovery.",What’s a bad miracle?,"california, horse, exploitation, video surveillance, death of father, alien, ufo, social commentary, alien invasion, child star, chimpanzee, alien contact, aftercreditsstinger, horse farm, african american man, racial issues, brother sister relationship, pathetic, psychological horror, sci-fi horror",,"Based on the title, overview, and keywords, I would classify ""Nope"" under **Invasion, Impostors & Paranoia**.

The film's premise revolves around an uncanny discovery that suggests an alien presence is lurking in the skies above California. The fear of being replaced or observed by a hidden other (aliens) drives the horror sequences and paranoia among the characters. The use of video surveillance and exploitation of the situation for financial gain adds to the sense of unease and uncertainty.

While there may be themes of racial issues, social commentary, and psychological horror present in the film, the primary fear at its core is the invasion and potential replacement by an external presence (aliens), which falls under the **Invasion, Impostors & Paranoia** category.","Invasion, Impostors & Paranoia"
Insidious: Chapter 2,No,,"7,200,000",1:46,4100000,Insidious: Chapter 2,Insidious: Chapter 2,2013.0,PG-13,13 Sep 2013,106 min,"Horror, Mystery, Thriller",James Wan,"Leigh Whannell, James Wan","Patrick Wilson, Rose Byrne, Barbara Hershey","The Lamberts believe that they have defeated the spirits that have haunted their family, but they soon discover that evil is not beaten so easily.",English,"United Kingdom, Canada, United States",16 nominations total,https://m.media-amazon.com/images/M/MV5BMTg0OTA5ODIxNF5BMl5BanBnXkFtZTcwNTUzNDg4OQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '38%'}, {'Source': 'Metacritic', 'Value': '40/100'}]",40.0,6.6,"198,038",tt2226417,movie,,"$83,586,447",,,True,,The haunted Lambert family seeks to uncover the mysterious childhood secret that has left them dangerously connected to the spirit world.,It will take what you love most.,"haunted house, possession, demon, family, ghost, bride in black, insidious, suspenseful, intense, sinister",,"Based on the title, overview, and keywords, I would classify Insidious: Chapter 2 under **Possession & Loss of Agency**.

The film's focus on the Lambert family's connection to the spirit world and their attempts to uncover a mysterious childhood secret suggests that the primary fear is losing control of one's mind or body to supernatural forces. The presence of demons, possession, and ghostly entities further supports this classification.

While there may be elements of captivity and confinement in the film, the core horror stems from the family's struggle against malevolent spirits and their own vulnerability to possession, rather than intentional captors or sadistic agents.",Possession & Loss of Agency
The Dead Don't Die,No,,"7,100,000",1:45,4100000,The Dead Don't Die,The Dead Don't Die,2019.0,R,14 Jun 2019,104 min,"Comedy, Fantasy, Horror",Jim Jarmusch,Jim Jarmusch,"Bill Murray, Adam Driver, Tilda Swinton",The focus is on the sleepy small town of Centerville where the dead become undead.,English,"United States, Japan, Sweden",2 wins & 7 nominations total,https://m.media-amazon.com/images/M/MV5BMGQzMTFkM2UtZDhmOC00OGY4LWFjYzctMjljZDkzYTAxN2VmXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '55%'}, {'Source': 'Metacritic', 'Value': '53/100'}]",53.0,5.4,"97,839",tt8695030,movie,,"$6,563,605",,,True,,"In the sleepy town of Centerville, the lives of a number of interconnected characters are disrupted by the undead.",The greatest zombie cast ever disassembled.,"hermit, small town, pennsylvania, usa, cemetery, breaking the fourth wall, b movie, zombie, police officer",,"Based on the title, overview, and keywords, I would classify ""The Dead Don't Die"" under:

**Invasion, Impostors & Paranoia**

This category fits because the film features an external presence (the undead) that disrupts the lives of the characters in Centerville. The invasion is not driven by institutions, technologies, or social systems, but rather by a supernatural force that threatens to replace and infiltrate the living.

The fact that the zombies are the primary menace and the characters must navigate this external threat fits within the Invasion category.","Invasion, Impostors & Paranoia"
Escape Room (2019),No,,"6,800,000",1:40,4100000,Escape Room,Escape Room,2019.0,PG-13,04 Jan 2019,99 min,"Action, Adventure, Horror",Adam Robitel,"Bragi F. Schut, Maria Melnik","Taylor Russell, Logan Miller, Jay Ellis",Six strangers find themselves in a maze of deadly mystery rooms and must use their wits to survive.,English,"United States, South Africa",2 wins & 7 nominations total,https://m.media-amazon.com/images/M/MV5BMjQ2NDMwMTY3MF5BMl5BanBnXkFtZTgwNDg5OTc1NjM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '51%'}, {'Source': 'Metacritic', 'Value': '48/100'}]",48.0,6.4,"153,844",tt5886046,movie,,"$57,005,601",,,True,,"Six strangers find themselves in circumstances beyond their control, and must use their wits to survive.",Find the clues or die.,"chicago, illinois, key, riddle, code, puzzle, game, clue, magnet, box, cube, escape room, traumatized person, teamwork, mysterious box, sliding puzzle, pool table, death game, tense",,"Based on the title, overview, and keywords, I would classify ""Escape Room"" under **Captivity & Voyeuristic Sadism**.

The film appears to be a survival horror movie where six strangers are trapped in an escape room and must work together to survive. The presence of puzzles, codes, and riddles suggests that the captors are intentionally designing a game-like experience for their victims, which is a hallmark of this fear category. The fact that the characters are forced to use their wits to survive and that there is a sense of tension and death game-like atmosphere also supports this classification.

While there may be elements of isolation and psychological unraveling present in the film, the primary focus on the captors' intentional design of the escape room experience makes **Captivity & Voyeuristic Sadism** the most fitting fear category.",Captivity & Voyeuristic Sadism
Body Cam (2020),No,,"6,500,000",1:37,4000000,Body Cam,Body Cam,2020.0,R,18 May 2020,96 min,"Horror, Mystery, Thriller",Malik Vitthal,"Nicholas McCarthy, Richmond Riedel","Mary J. Blige, Nat Wolff, David Zayas","When a routine traffic stop results in the unexplained, grisly death of her colleague, a cop realizes footage of the incident will play for her eyes only. As the attacks mount, she races to understand the supernatural force behind...",English,United States,,https://m.media-amazon.com/images/M/MV5BYWQ1NTljYzEtNWE0ZS00Njg2LWJkNDMtNWVjOWZkYTg4OTg4XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '43%'}, {'Source': 'Metacritic', 'Value': '37/100'}]",37.0,5.3,"7,878",tt8179024,movie,,,,,True,,"As a police officer investigates the gruesome murder of her colleague, she discovers that a mysterious supernatural force is behind it.",Protect. Serve. Survive.,straightforward,,"Based on the title, overview, and keywords, I would classify ""Body Cam"" under **Possession & Loss of Agency**.

The movie's premise revolves around a police officer investigating a gruesome murder, which leads her to discover that a mysterious supernatural force is behind it. This suggests that the horror stems from an external entity taking control or manipulating the protagonist, rather than an internal psychological issue or structural control.

The use of the term ""body cam"" also implies a focus on the physical body and its boundaries, which aligns with the themes of possession and loss of agency found in this fear category.",Possession & Loss of Agency
The Last Voyage of the Demeter,No,,"7,800,000",1:59,3900000,The Last Voyage of the Demeter,The Last Voyage of the Demeter,2023.0,R,11 Aug 2023,118 min,"Fantasy, Horror, Thriller",André Øvredal,"Bram Stoker, Bragi F. Schut, Zak Olkewicz","Corey Hawkins, Aisling Franciosi, Liam Cunningham",A crew sailing from Varna (Bulgaria) by the Black Sea to England find that they are carrying very dangerous cargo.,"English, Romany, Russian","United Kingdom, Malta, India, Germany, Canada, United States",2 wins & 10 nominations total,https://m.media-amazon.com/images/M/MV5BZmRkMTFjNWMtNTVhNS00Y2EwLWJjYTAtMDRiMjA2MDJhOGI1XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}, {'Source': 'Metacritic', 'Value': '52/100'}]",52.0,6.1,"66,389",tt1001520,movie,,"$13,637,180",,,True,,The crew of the merchant ship Demeter attempts to survive the ocean voyage from Carpathia to London as they are stalked each night by a merciless presence onboard the ship.,The legend of Dracula is born.,"ship, monster, based on novel or book, sacrifice, vampire, supernatural, gothic horror, supernatural horror, dracula, 1890s",,"Based on the title, overview, and keywords, I would classify ""The Last Voyage of the Demeter"" under **Invasion, Impostors & Paranoia** (Category 1).

The film appears to be a supernatural horror story that revolves around an external presence stalking and terrorizing the crew of the merchant ship Demeter. The fact that the crew is being hunted by a merciless force onboard the ship suggests an invasion or infiltration by an unknown entity, which is the primary fear driving the horror sequences.

While there may be elements of isolation and confinement on the ship, the core fear seems to be the presence of an external threat that is intentionally targeting the crew. This classification also aligns with the film's connection to Bram Stoker's novel ""Dracula,"" as the Demeter is the ship that carries Count Dracula from Transylvania to England.

Overall, I believe that **Invasion, Impostors & Paranoia** is the most fitting category for this film.","Invasion, Impostors & Paranoia"
